url,type,name,date,size
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP.cpg,file,SP_3500105_APP.cpg,14-08-2021 20:37,5 B
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP.dbf,file,SP_3500105_APP.dbf,14-08-2021 20:37,277 KB
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP.prj,file,SP_3500105_APP.prj,14-08-2021 20:37,418 B
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP.shp,file,SP_3500105_APP.shp,14-08-2021 20:37,1.5 MB
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP.shp.xml,txt-xml,SP_3500105_APP.shp.xml,14-08-2021 20:37,46 KB
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP.shx,file,SP_3500105_APP.shx,14-08-2021 20:37,7 KB
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP_USO.cpg,file,SP_3500105_APP_USO.cpg,14-08-2021 20:37,5 B
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP_USO.dbf,file,SP_3500105_APP_USO.dbf,14-08-2021 20:37,2 KB
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP_USO.prj,file,SP_3500105_APP_USO.prj,14-08-2021 20:37,418 B
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP_USO.shp,file,SP_3500105_APP_USO.shp,14-08-2021 20:37,2.0 MB
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP_USO.shp.xml,txt-xml,SP_3500105_APP_USO.shp.xml,14-08-2021 20:37,28 KB
https://geo.fbds.org.br/SP/ADAMANTINA/APP/SP_3500105_APP_USO.shx,file,SP_3500105_APP_USO.shx,14-08-2021 20:37,140 B
https://geo.fbds.org.br/SP/ADAMANTINA/APP/Thumbs.db,file,Thumbs.db,06-08-2021 01:25,13 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_MASSAS_DAGUA.cpg,file,SP_3500105_MASSAS_DAGUA.cpg,14-08-2021 20:37,5 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_MASSAS_DAGUA.dbf,file,SP_3500105_MASSAS_DAGUA.dbf,14-08-2021 20:37,15 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_MASSAS_DAGUA.prj,file,SP_3500105_MASSAS_DAGUA.prj,14-08-2021 20:37,418 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_MASSAS_DAGUA.shp,file,SP_3500105_MASSAS_DAGUA.shp,14-08-2021 20:37,30 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_MASSAS_DAGUA.shp.xml,txt-xml,SP_3500105_MASSAS_DAGUA.shp.xml,14-08-2021 20:37,27 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_MASSAS_DAGUA.shx,file,SP_3500105_MASSAS_DAGUA.shx,14-08-2021 20:37,420 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_NASCENTES.cpg,file,SP_3500105_NASCENTES.cpg,14-08-2021 20:37,5 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_NASCENTES.dbf,file,SP_3500105_NASCENTES.dbf,14-08-2021 20:37,212 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_NASCENTES.prj,file,SP_3500105_NASCENTES.prj,14-08-2021 20:37,418 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_NASCENTES.shp,file,SP_3500105_NASCENTES.shp,14-08-2021 20:37,19 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_NASCENTES.shp.xml,txt-xml,SP_3500105_NASCENTES.shp.xml,14-08-2021 20:37,22 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_NASCENTES.shx,file,SP_3500105_NASCENTES.shx,14-08-2021 20:37,6 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_DUPLOS.cpg,file,SP_3500105_RIOS_DUPLOS.cpg,14-08-2021 20:37,5 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_DUPLOS.dbf,file,SP_3500105_RIOS_DUPLOS.dbf,14-08-2021 20:37,26 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_DUPLOS.prj,file,SP_3500105_RIOS_DUPLOS.prj,14-08-2021 20:37,418 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_DUPLOS.shp,file,SP_3500105_RIOS_DUPLOS.shp,14-08-2021 20:37,284 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_DUPLOS.shp.xml,txt-xml,SP_3500105_RIOS_DUPLOS.shp.xml,14-08-2021 20:37,16 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_DUPLOS.shx,file,SP_3500105_RIOS_DUPLOS.shx,14-08-2021 20:37,732 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_SIMPLES.cpg,file,SP_3500105_RIOS_SIMPLES.cpg,14-08-2021 20:37,5 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_SIMPLES.dbf,file,SP_3500105_RIOS_SIMPLES.dbf,14-08-2021 20:37,550 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_SIMPLES.prj,file,SP_3500105_RIOS_SIMPLES.prj,14-08-2021 20:37,418 B
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_SIMPLES.shp,file,SP_3500105_RIOS_SIMPLES.shp,14-08-2021 20:37,2.6 MB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_SIMPLES.shp.xml,txt-xml,SP_3500105_RIOS_SIMPLES.shp.xml,14-08-2021 20:37,28 KB
https://geo.fbds.org.br/SP/ADAMANTINA/HIDROGRAFIA/SP_3500105_RIOS_SIMPLES.shx,file,SP_3500105_RIOS_SIMPLES.shx,14-08-2021 20:37,108 B
https://geo.fbds.org.br/SP/ADAMANTINA/MAPAS/SP_3500105_APP.jpg,img-jpg,SP_3500105_APP.jpg,01-02-2018 16:45,2.1 MB
https://geo.fbds.org.br/SP/ADAMANTINA/MAPAS/SP_3500105_HIDROGRAFIA.jpg,img-jpg,SP_3500105_HIDROGRAFIA.jpg,01-02-2018 16:45,2.4 MB
https://geo.fbds.org.br/SP/ADAMANTINA/MAPAS/SP_3500105_RGB532.jpg,img-jpg,SP_3500105_RGB532.jpg,01-02-2018 16:45,8.2 MB
https://geo.fbds.org.br/SP/ADAMANTINA/MAPAS/SP_3500105_USO_DO_SOLO.jpg,img-jpg,SP_3500105_USO_DO_SOLO.jpg,01-02-2018 16:45,1.7 MB
https://geo.fbds.org.br/SP/ADAMANTINA/MAPAS/Thumbs.db,file,Thumbs.db,06-08-2021 01:25,26 KB
https://geo.fbds.org.br/SP/ADAMANTINA/USO/SP_3500105_USO.cpg,file,SP_3500105_USO.cpg,14-08-2021 20:37,5 B
https://geo.fbds.org.br/SP/ADAMANTINA/USO/SP_3500105_USO.dbf,file,SP_3500105_USO.dbf,14-08-2021 20:37,2 KB
https://geo.fbds.org.br/SP/ADAMANTINA/USO/SP_3500105_USO.prj,file,SP_3500105_USO.prj,14-08-2021 20:37,418 B
https://geo.fbds.org.br/SP/ADAMANTINA/USO/SP_3500105_USO.shp,file,SP_3500105_USO.shp,14-08-2021 20:37,2.0 MB
https://geo.fbds.org.br/SP/ADAMANTINA/USO/SP_3500105_USO.shp.xml,txt-xml,SP_3500105_USO.shp.xml,14-08-2021 20:37,25 KB
https://geo.fbds.org.br/SP/ADAMANTINA/USO/SP_3500105_USO.shx,file,SP_3500105_USO.shx,14-08-2021 20:37,148 B
https://geo.fbds.org.br/SP/ADOLFO/APP/SP_3500204_APP.cpg,file,SP_3500204_APP.cpg,14-08-2021 20:37,5 B
